image,xmin,ymin,xmax,ymax
vid_4_1000.jpg,281.2590449,187.0350708,327.7279305,223.225547
vid_4_10000.jpg,15.16353111,187.0350708,120.3299566,236.4301802
vid_4_10040.jpg,239.1924747,176.7648005,361.9681621,236.4301802
vid_4_10020.jpg,496.4833575,172.3632561,630.0202605,231.5395753
vid_4_10060.jpg,16.63096961,186.5460103,132.5586107,238.3864221
vid_4_10100.jpg,447.568741,160.6258044,582.0839363,232.5176963
vid_4_10120.jpg,168.7554269,180.6772844,304.7380608,246.7004505
vid_4_10140.jpg,0,188.9913127,85.11143271,249.1457529
vid_4_1020.jpg,202.5065123,189.4803732,239.1924747,229.0942728
vid_4_1040.jpg,116.4167873,189.9694337,180.4949349,229.0942728
vid_4_10480.jpg,473.9826339,172.8523166,602.1389291,231.0505148
vid_4_10500.jpg,149.6787265,190.4584942,268.5412446,237.4083012
vid_4_10520.jpg,0,195.3490991,36.68596237,234.4739382
vid_4_1060.jpg,45.49059334,192.9037967,112.5036179,225.6708494
vid_4_10960.jpg,614.8567294,175.297619,676,217.3568211
vid_4_10980.jpg,398.6541245,188.5022523,518.0057887,236.9192407
vid_4_11000.jpg,149.1895803,194.8600386,265.6063676,242.0849421
vid_4_11020.jpg,0,197.7944015,75.81765557,237.4083012
vid_4_11240.jpg,497.4616498,184.1007079,633.9334298,231.0505148
vid_4_11260.jpg,275.878437,197.3053411,405.9913169,244.7442085
vid_4_11280.jpg,62.61070912,201.217825,186.853835,243.7660875
vid_4_11380.jpg,514.5817656,176.27574,615.8350217,229.0942728
vid_4_11400.jpg,331.1519537,192.4147362,429.959479,233.9848777
vid_4_11420.jpg,137.9392185,197.3053411,238.7033285,236.4301802
vid_4_11440.jpg,0,199.261583,74.35021708,235.9411197
vid_4_11900.jpg,524.3646889,184.5897683,624.6396527,219.3130631
vid_4_11880.jpg,618.7698987,181.6554054,676,218.8240026
vid_4_11920.jpg,410.3936324,193.8819176,516.0492041,225.6708494
vid_4_11940.jpg,286.1505065,192.4147362,383.0014472,228.6052124
vid_4_11960.jpg,156.5267728,195.8381596,256.8017366,230.0723938
vid_4_11980.jpg,54.78437048,194.8600386,145.7655572,234.4739382
vid_4_12000.jpg,0,196.3272201,50.38205499,227.6270914
vid_4_12040.jpg,642.2489146,178.7210425,676,213.9333977
vid_4_12100.jpg,440.2315485,176.7648005,521.4298119,216.8677606
vid_4_12060.jpg,595.2908828,180.1882239,650.5643994,215.4005792
vid_4_12080.jpg,535.1259045,176.7648005,591.3777135,214.9115187
vid_4_12120.jpg,334.0868307,178.231982,428.4920405,223.7146075
vid_4_12140.jpg,209.3545586,184.5897683,317.4558611,225.1817889
vid_4_12140.jpg,592.3560058,169.4288932,641.7597685,210.5099743
vid_4_12160.jpg,93.42691751,186.5460103,203.9739508,231.0505148
vid_4_12160.jpg,537.5716353,173.8304376,581.105644,205.1303089
vid_4_12160.jpg,640.7814761,168.9398327,676,222.7364865
vid_4_12180.jpg,5.86975398,186.5460103,90.49204052,231.5395753
vid_4_12180.jpg,482.7872648,174.8085586,518.984081,204.6412484
vid_4_12180.jpg,555.6700434,171.3851351,614.3675832,221.7583655
vid_4_12200.jpg,431.9160637,176.7648005,465.1780029,201.217825
vid_4_12200.jpg,473.0043415,172.8523166,518.4949349,225.1817889
vid_4_12220.jpg,398.6541245,179.210103,447.0795948,218.3349421
vid_4_12240.jpg,587.4645441,172.3632561,676,220.7802445
vid_4_12240.jpg,334.0868307,185.0788288,388.382055,212.9552767
vid_4_12260.jpg,485.7221418,187.5241313,667.6845152,235.9411197
vid_4_12260.jpg,282.7264834,184.1007079,321.3690304,217.3568211
vid_4_12280.jpg,327.2387844,193.8819176,502.3531114,250.6129344
vid_4_12280.jpg,229.4095514,187.0350708,271.9652677,212.9552767
vid_4_12300.jpg,192.2344428,189.9694337,221.0940666,209.0427928
vid_4_12300.jpg,168.2662808,204.1521879,327.2387844,253.0582368
vid_4_12300.jpg,386.4254703,185.5678893,554.2026049,230.5614543
vid_4_12300.jpg,415.7742402,169.4288932,586.975398,254.5254183
vid_4_12320.jpg,27.39218524,208.0646718,180.0057887,249.1457529
vid_4_12320.jpg,138.9175109,196.8162806,225.0072359,233.4958172
vid_4_12320.jpg,236.7467438,182.6335264,404.5238784,252.5691763
vid_4_12340.jpg,0,207.0865508,60.65412446,253.0582368
vid_4_12340.jpg,54.78437048,193.8819176,116.9059334,240.8317246
vid_4_12340.jpg,95.38350217,177.7429215,240.170767,259.9050837
vid_4_12360.jpg,0,187.0350708,114.9493488,249.1457529
vid_4_12360.jpg,80.70911722,191.9256757,173.6468886,245.7223295
vid_4_12380.jpg,2.93487699,185.5678893,105.1664255,235.9411197
vid_4_12480.jpg,22.50072359,166.4945302,309.6295224,303.9205277
vid_4_13580.jpg,438.76411,180.6772844,477.406657,207.5756113
vid_4_13620.jpg,247.9971056,186.0569498,434.8509407,261.8613256
vid_4_13640.jpg,327.2387844,179.210103,359.0332851,213.4443372
vid_4_13640.jpg,0,195.3490991,130.1128799,252.0801158
vid_4_13660.jpg,292.0202605,180.1882239,316.9667149,207.5756113
vid_4_13660.jpg,570.8335745,176.0617761,676,239.3645431
vid_4_13680.jpg,260.2257598,183.6116474,279.3024602,202.1959459
vid_4_13680.jpg,207.397974,195.3490991,388.8712012,253.0582368
vid_4_13680.jpg,475.4500724,173.8304376,620.2373372,221.7583655
vid_4_13700.jpg,0,194.3709781,81.68740955,246.21139
vid_4_13700.jpg,219.1374819,181.6554054,255.8234443,210.0209138
vid_4_13700.jpg,251.4211288,179.210103,374.1968162,239.8536036
vid_4_13700.jpg,379.577424,175.5727156,544.4196816,247.6785714
vid_4_13720.jpg,38.15340087,193.3928571,180.984081,250.1238739
vid_4_13720.jpg,189.2995658,183.6116474,228.431259,208.5537323
vid_4_13720.jpg,593.3342981,167.9617117,676,236.4301802
vid_4_13740.jpg,232.3444284,174.8085586,423.6005789,252.5691763
vid_4_13740.jpg,155.0593343,185.0788288,196.1476122,209.0427928
vid_4_13760.jpg,127.6671491,184.1007079,163.8639653,212.4662162
vid_4_13760.jpg,0,188.2882883,99.78581766,241.3207851
vid_4_13760.jpg,614.8567294,158.6695624,676,214.9115187
vid_4_13780.jpg,98.31837916,188.5022523,140.8740955,205.6193694
vid_4_13780.jpg,400.121563,148.3992921,561.5397974,235.4520592
vid_4_13800.jpg,162.8856729,160.1367439,315.0101302,229.5833333
vid_4_13800.jpg,554.2026049,176.27574,676,238.3864221
vid_4_13840.jpg,181.4732272,185.5678893,296.9117221,235.4520592
vid_4_13840.jpg,0,195.8381596,51.84949349,238.8754826
vid_4_13820.jpg,5.86975398,166.0054698,118.3733719,230.5614543
vid_4_13820.jpg,174.1360347,184.5897683,346.804631,253.0582368
vid_4_13820.jpg,432.894356,176.7648005,541.9739508,231.5395753
vid_4_13860.jpg,3.91316932,185.5678893,100.76411,228.6052124
vid_4_13860.jpg,434.8509407,184.5897683,600.1823444,247.1895109
vid_4_13860.jpg,609.4761216,173.6164736,676,216.3787001
vid_4_13900.jpg,141.8523878,182.6335264,253.8668596,231.0505148
vid_4_13880.jpg,64.07814761,191.4366152,216.2026049,246.7004505
vid_4_13880.jpg,392.2952243,173.8304376,512.6251809,226.6489704
vid_4_13920.jpg,0,188.9913127,68.96960926,229.0942728
vid_4_14140.jpg,343.869754,182.1444659,616.3241679,285.8252896
vid_4_14160.jpg,0,194.8600386,161.9073806,279.9565637
vid_4_14360.jpg,387.4037627,167.9617117,507.7337192,228.1161519
vid_4_14340.jpg,622.1939219,168.9398327,676,214.4224582
vid_4_14380.jpg,132.0694645,185.0788288,244.0839363,232.5176963
vid_4_14400.jpg,0,190.9475547,55.27351664,228.1161519
vid_4_14460.jpg,371.7510854,177.253861,486.7004342,226.1599099
vid_4_14440.jpg,583.5513748,170.8960746,676,213.4443372
vid_4_14480.jpg,152.6136035,190.4584942,252.8885673,229.5833333
vid_4_14500.jpg,0,191.9256757,88.53545586,229.0942728
vid_4_15000.jpg,515.0709117,174.3194981,676,238.8754826
vid_4_15020.jpg,183.4298119,188.5022523,360.5007236,258.4379022
vid_4_15040.jpg,0,194.8600386,85.60057887,249.1457529
vid_4_16000.jpg,407.4587554,186.5460103,495.015919,234.4739382
vid_4_16020.jpg,244.0839363,193.3928571,338.9782923,237.8973616
vid_4_16040.jpg,100.76411,188.0131918,193.2127352,238.8754826
vid_4_16060.jpg,0,194.8600386,72.88277858,233.9848777
vid_4_16100.jpg,600.6714906,178.231982,676,231.5395753
vid_4_16120.jpg,451.9710564,181.6554054,581.5947902,228.6052124
vid_4_16140.jpg,287.1287988,188.5022523,413.3285094,233.7709138
vid_4_16160.jpg,131.5803184,192.4147362,246.040521,238.3864221
vid_4_16180.jpg,9.7829233,194.3709781,112.0144718,233.9848777
vid_4_16280.jpg,594.3125904,172.8523166,671.1085384,214.9115187
vid_4_16320.jpg,448.0578871,179.6991634,497.9507959,215.8896396
vid_4_16300.jpg,513.1143271,176.27574,584.5296671,217.3568211
vid_4_16400.jpg,243.5947902,189.9694337,271.4761216,210.5099743
vid_4_16420.jpg,207.397974,190.9475547,237.7250362,212.9552767
vid_4_16500.jpg,232.3444284,193.3928571,390.3386397,254.0363578
vid_4_16660.jpg,414.7959479,185.5678893,597.2474674,246.7004505
vid_4_16680.jpg,60.65412446,196.8162806,212.7785818,251.5910553
vid_4_16700.jpg,440.7206946,176.7648005,613.878437,244.7442085
vid_4_16720.jpg,64.56729378,192.9037967,215.2243126,261.3722651
vid_4_17040.jpg,529.7452967,162.5820463,676,226.6489704
vid_4_17060.jpg,277.3458755,171.3851351,426.5354559,235.9411197
vid_4_17080.jpg,42.06657019,181.1663449,182.9406657,238.3864221
vid_4_17100.jpg,499.4182344,185.0788288,609.4761216,232.5176963
vid_4_17140.jpg,16.63096961,199.7506435,105.1664255,238.3864221
vid_4_17140.jpg,544.9088278,174.8085586,657.4124457,229.0942728
vid_4_17120.jpg,218.1591896,195.3490991,337.0217077,239.3645431
vid_4_17160.jpg,290.0636758,192.9037967,409.4153401,234.9629987
vid_4_17180.jpg,67.0130246,200.7287645,171.2011577,239.3645431
vid_4_17240.jpg,421.154848,185.5678893,578.6599132,248.1676319
vid_4_17260.jpg,47.93632417,195.8381596,193.7018813,250.1238739
vid_4_17320.jpg,262.1823444,176.7648005,561.0506512,308.3220721
vid_4_17340.jpg,0,190.9475547,133.536903,279.4675032
vid_4_17340.jpg,154.5701881,189.9694337,274.4109986,242.298906
vid_4_17360.jpg,0,193.8819176,60.16497829,235.4520592
vid_4_17400.jpg,504.7988423,179.6991634,614.3675832,229.5833333
vid_4_17440.jpg,0,191.4366152,82.66570188,237.4083012
vid_4_17420.jpg,195.1693198,195.3490991,322.8364689,240.3426641
vid_4_17560.jpg,0,183.6116474,86.5788712,246.7004505
vid_4_17560.jpg,185.3863965,178.7210425,305.2272069,236.9192407
vid_4_17560.jpg,548.8219971,181.1663449,676,244.041184
vid_4_17540.jpg,250.9319826,183.6116474,433.8726483,252.0801158
vid_4_17540.jpg,473.0043415,173.3413771,606.0520984,228.1161519
vid_4_17580.jpg,143.8089725,196.8162806,315.9884226,256.4816602
vid_4_17580.jpg,0,190.9475547,77.77424023,233.0067568
vid_4_1760.jpg,461.2648336,179.6991634,573.7684515,224.203668
vid_4_17600.jpg,573.2793054,173.3413771,676,237.4083012
vid_4_17620.jpg,160.4399421,196.8162806,333.5976845,257.4597812
vid_4_17620.jpg,422.1331404,176.7648005,569.366136,233.4958172
vid_4_17640.jpg,125.2214182,187.0350708,266.0955137,236.4301802
vid_4_17640.jpg,614.8567294,178.7210425,676,231.5395753
vid_4_17660.jpg,238.2141823,198.7725225,409.4153401,251.1019949
vid_4_17660.jpg,0,193.8819176,56.25180897,233.4958172
vid_4_17680.jpg,0,196.8162806,68.4804631,244.7442085
vid_4_1780.jpg,231.8552822,193.3928571,330.1736614,228.1161519
vid_4_1780.jpg,540.5065123,164.5382883,676,240.3426641
vid_4_1800.jpg,40.59913169,195.8381596,130.602026,228.6052124
vid_4_1800.jpg,141.3632417,178.7210425,322.3473227,258.4379022
vid_4_1800.jpg,537.0824891,181.6554054,652.5209841,222.7364865
vid_4_18180.jpg,333.1085384,183.1225869,505.2879884,250.1238739
vid_4_1820.jpg,318.4341534,188.5022523,424.089725,226.9240669
vid_4_1820.jpg,540.9956585,164.0492278,676,245.7223295
vid_4_18200.jpg,27.8813314,195.8381596,158.4833575,253.5472973
vid_4_18320.jpg,491.5918958,174.8085586,624.6396527,223.225547
